곡일련번호,순위,앨범,곡명,가수,커버이미지_주소,좋아요
31035061,72,건반 위의 하이에나 Part.4,주지마,로꼬,https://cdnimg.melon.co.kr/cm/album/images/101/60/487/10160487_500.jpg/melon/resize/120/quality/80/optimize,154263
31147211,73,"WHO, YOU",Dejavu,뉴이스트 W,https://cdnimg.melon.co.kr/cm/album/images/101/78/912/10178912_500.jpg/melon/resize/120/quality/80/optimize,53081
30849733,74,투유 프로젝트 - 슈가맨2 Part.2,You,멜로망스,https://cdnimg.melon.co.kr/cm/album/images/101/31/018/10131018_500.jpg/melon/resize/120/quality/80/optimize,141103
31340984,75,쇼미더머니 777 Episode 1,"패 (Feat. 넉살, 딥플로우)",김효은,https://cdnimg.melon.co.kr/cm/album/images/102/09/647/10209647_500.jpg/melon/resize/120/quality/80/optimize,10536
31309947,76,A-TEEN Part.4,도망가지마,모트 (Motte),https://cdnimg.melon.co.kr/cm/album/images/102/04/722/10204722_500.jpg/melon/resize/120/quality/80/optimize,48716
30721801,77,돈꽃 OST Part.1,My Way,이수 (엠씨 더 맥스),https://cdnimg.melon.co.kr/cm/album/images/101/10/396/10110396_500.jpg/melon/resize/120/quality/80/optimize,119657
30514366,78,Moonlight,선물,멜로망스,https://cdnimg.melon.co.kr/cm/album/images/100/78/176/10078176_500.jpg/melon/resize/120/quality/80/optimize,266869
31227367,79,미스터 션샤인 OST Part.5,좋은 날,멜로망스,https://cdnimg.melon.co.kr/cm/album/images/101/91/294/10191294_500.jpg/melon/resize/120/quality/80/optimize,33146
31113242,80,1÷χ=1 (UNDIVIDED),영원+1 (Prod. NELL),Wanna One (워너원) - 린온미,https://cdnimg.melon.co.kr/cm/album/images/101/73/365/10173365_500.jpg/melon/resize/120/quality/80/optimize,76313
31266377,81,미스터 션샤인 OST Part.10,AND I,뉴이스트 W,https://cdnimg.melon.co.kr/cm/album/images/101/97/500/10197500_500.jpg/melon/resize/120/quality/80/optimize,20736
31331749,82,I Don’t Care (with 스푼즈),I Don’t Care (with 스푼즈),뉴이스트 W,https://cdnimg.melon.co.kr/cm/album/images/102/08/359/10208359_500.jpg/melon/resize/120/quality/80/optimize,13544
31147212,83,"WHO, YOU",북극성 (Polaris),뉴이스트 W,https://cdnimg.melon.co.kr/cm/album/images/101/78/912/10178912_500.jpg/melon/resize/120/quality/80/optimize,32098
30970444,84,소나기 (Feat. 10cm),소나기 (Feat. 10cm),용준형,https://cdnimg.melon.co.kr/cm/album/images/101/50/572/10150572_500.jpg/melon/resize/120/quality/80/optimize,130935
31113244,85,1÷χ=1 (UNDIVIDED),11 (Prod. 다이나믹듀오),Wanna One (워너원) - 남바완,https://cdnimg.melon.co.kr/cm/album/images/101/73/365/10173365_500.jpg/melon/resize/120/quality/80/optimize,67211
4032981,86,THE SECOND MINI ALBUM `여보세요`,여보세요,NU`EST,https://cdnimg.melon.co.kr/cm/album/images/021/75/137/2175137_500.jpg/melon/resize/120/quality/80/optimize,126064
31299371,87,라이프 OST Part.6,잘 지내요,정승환,https://cdnimg.melon.co.kr/cm/album/images/102/02/962/10202962_500.jpg/melon/resize/120/quality/80/optimize,25169
30806539,88,"Universe - 겨울 스페셜 앨범, 2017",지나갈 테니 (Been Through),EXO,https://cdnimg.melon.co.kr/cm/album/images/101/22/917/10122917_500.jpg/melon/resize/120/quality/80/optimize,88331
31324696,89,연애플레이리스트3 Part.1,Perfect,10cm,https://cdnimg.melon.co.kr/cm/album/images/102/07/153/10207153_500.jpg/melon/resize/120/quality/80/optimize,24732
8111603,90,Fitz and The Tantrums (Deluxe),HandClap,Fitz & The Tantrums,https://cdnimg.melon.co.kr/cm/album/images/026/75/179/2675179_500.jpg/melon/resize/120/quality/80/optimize,156476
30661885,91,"W, HERE",WHERE YOU AT,뉴이스트 W,https://cdnimg.melon.co.kr/cm/album/images/101/00/941/10100941_500.jpg/melon/resize/120/quality/80/optimize,92753
31006730,92,What is Love?,What is Love?,TWICE (트와이스),https://cdnimg.melon.co.kr/cm/album/images/101/56/195/10156195_500.jpg/melon/resize/120/quality/80/optimize,121530
31052421,93,여자친구 The 6th Mini Album 'Time for the moon night',밤 (Time for the moon night),여자친구 (GFRIEND),https://cdnimg.melon.co.kr/cm/album/images/101/63/106/10163106_500.jpg/melon/resize/120/quality/80/optimize,125760
31194610,94,Blooming Blue,Love U,청하,https://cdnimg.melon.co.kr/cm/album/images/101/86/254/10186254_500.jpg/melon/resize/120/quality/80/optimize,61670
31147210,95,"WHO, YOU",Signal,뉴이스트 W,https://cdnimg.melon.co.kr/cm/album/images/101/78/912/10178912_500.jpg/melon/resize/120/quality/80/optimize,27270
30937275,96,Yellow Flower,별이 빛나는 밤,마마무(Mamamoo),https://cdnimg.melon.co.kr/cm/album/images/101/45/303/10145303_500.jpg/melon/resize/120/quality/80/optimize,145494
31147213,97,"WHO, YOU",ylenoL,뉴이스트 W,https://cdnimg.melon.co.kr/cm/album/images/101/78/912/10178912_500.jpg/melon/resize/120/quality/80/optimize,26136
31288765,98,몰랐니 - The 1st Single Album,몰랐니 (Lil` Touch),소녀시대-Oh!GG,https://cdnimg.melon.co.kr/cm/album/images/102/01/272/10201272_500.jpg/melon/resize/120/quality/80/optimize,42853
31147214,99,"WHO, YOU",중력달 (Gravity&Moon;),뉴이스트 W,https://cdnimg.melon.co.kr/cm/album/images/101/78/912/10178912_500.jpg/melon/resize/120/quality/80/optimize,26091
30806540,100,"Universe - 겨울 스페셜 앨범, 2017",Stay,EXO,https://cdnimg.melon.co.kr/cm/album/images/101/22/917/10122917_500.jpg/melon/resize/120/quality/80/optimize,81556
